dataset,split,m,seed,k,ndcg_at_10,mrr_at_10,candidate_recall_at_k,reranked_recall_at_100,delta_ndcg10_vs_projected_exact,delta_ci95_low,delta_ci95_high,pq_search_mean_ms,rerank_p50_ms,code_bytes_per_doc,serialized_index_bytes
nfcorpus,strict_confirmatory,32,42,50,0.30391650517955093,0.5021303258145363,0.18759759126955192,0.18759759126955192,-0.023113810028482187,-0.03480790515690091,-0.012708871439808188,0.01954179525306166,0.0341,32,804470
nfcorpus,strict_confirmatory,32,42,100,0.314462392709438,0.514156715317706,0.2449591597908943,0.2449591597908943,-0.012567922498595127,-0.022229390433234894,-0.004477740721897228,0.020443653578267378,0.0497,32,804470
nfcorpus,strict_confirmatory,32,42,200,0.32163656616449776,0.520249152292496,0.3016848448911477,0.25656543271590304,-0.005393749043535322,-0.01356918866190077,0.000834514889594004,0.021414241635301166,0.0922,32,804470
nfcorpus,validation,48,42,20,0.2790937660778882,0.49791176758769357,0.13276063944496752,0.13276063944496752,-0.030830852895957838,-0.04299637858704324,-0.019252862215762948,0.023195370571848787,0.0122,48,862598
nfcorpus,validation,48,42,50,0.3005723843660994,0.5030153831079757,0.19948419078347188,0.19948419078347188,-0.009352234607746684,-0.016108339533906273,-0.0031359322702139737,0.030257407127431146,0.0174,48,862598
nfcorpus,validation,48,42,100,0.3037657538038673,0.5050827944346463,0.25480306925457585,0.25480306925457585,-0.006158865169978774,-0.01070745648027873,-0.001949383213013975,0.025666666642567258,0.028,48,862598
nfcorpus,validation,48,42,200,0.30707237163917783,0.5066517244757985,0.3179960577474432,0.27106856959147124,-0.002852247334668236,-0.005639188021107423,-0.00028559485041078445,0.02666697535594856,0.055349999999999996,48,862598
nfcorpus,strict_confirmatory,48,42,20,0.2953068531581186,0.49174038036267137,0.14773283205594512,0.14773283205594512,-0.031723462049914525,-0.043748257237472,-0.02095709895044561,0.03069938065328465,0.0254,48,862598
nfcorpus,strict_confirmatory,48,42,50,0.3120232389005635,0.5038527691778466,0.19328318552937254,0.19328318552937254,-0.015007076307469584,-0.025415188657082297,-0.006032477798478406,0.025050464481253743,0.0174,48,862598
nfcorpus,strict_confirmatory,48,42,100,0.31579152963728807,0.5112106246007175,0.2393829967164884,0.2393829967164884,-0.011238785570745013,-0.020612996532918027,-0.003673083433951724,0.025715479979020524,0.0281,48,862598
nfcorpus,strict_confirmatory,48,42,200,0.3228592340816159,0.5175954592363261,0.3124206715034596,0.26720878226802725,-0.004171081126417251,-0.009195284485884973,-9.451547940756291e-05,0.02770681127375309,0.0557,48,862598
nfcorpus,validation,84,42,20,0.29914049559987754,0.4942962473055066,0.15383923780643682,0.15383923780643682,-0.01078412337396851,-0.01934431073012268,-0.002927582032189148,0.0346975306186963,0.0252,84,993386
nfcorpus,validation,84,42,50,0.30554522451060573,0.5058225553595924,0.2110881652091778,0.2110881652091778,-0.004379394463240354,-0.008005216572603618,-0.001004893513766854,0.049686419380897726,0.0337,84,993386
nfcorpus,validation,84,42,100,0.3074915557765522,0.5061189496374682,0.2607794589220506,0.2607794589220506,-0.0024330631972938575,-0.0045077889129185806,-0.0007011652528319338,0.03879753093775592,0.0287,84,993386
nfcorpus,validation,84,42,200,0.3078603902829258,0.5055543307858124,0.3287967172292102,0.27727499000294836,-0.0020642286909202893,-0.0039202882656575065,-0.0006161901839922487,0.03995864154816962,0.0547,84,993386
nfcorpus,strict_confirmatory,84,42,20,0.32182909216745936,0.5115632217799401,0.1742607161607014,0.1742607161607014,-0.005201223040573781,-0.010797156755830869,-6.6306551746060336e-06,0.03911795717413211,0.0128,84,993386
nfcorpus,strict_confirmatory,84,42,50,0.3264640807405152,0.5189210772028109,0.2139133032134769,0.2139133032134769,-0.0005662344675178795,-0.004159957661012446,0.002864668948120923,0.03523684262468165,0.0186,84,993386
nfcorpus,strict_confirmatory,84,42,100,0.3264564330387963,0.5214961423165757,0.26048352388627893,0.26048352388627893,-0.0005738821692368642,-0.0026583514801314504,0.0014142988921268306,0.03887337471009592,0.0516,84,993386
nfcorpus,strict_confirmatory,84,42,200,0.3267357717745291,0.5210563172637476,0.3333620259259386,0.28525221607601375,-0.00029454343350394246,-0.0013956987200956256,0.0005867403301696196,0.04083312681700239,0.0554,84,993386
