encoder,d,d_pub,d_priv,scheme,n,seed,condition,evaluated_queries,view,linkage_method,n_queries,top1,top5,top10,mrr,median_rank,mean_rank,auc,note
e5-small,384,96,288,microkey_perdoc,2000,11,clean,1000,full_server,combined_prefix_norm_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,microkey_perdoc,2000,11,clean,1000,residual,raw_cross_key_cosine_control,1000,0.0,0.002,0.004,0.00322944401309703,1081.0,1040.999,0.4849213,
e5-small,384,96,288,microkey_perdoc,2000,11,fp16,1000,residual,cell_label_chance_control,1000,0.0005000000000000002,0.0025,0.005,0.00408918405180514,1000.5,1000.5,0.5,analytic chance level given disclosed cell labels
e5-small,384,96,288,microkey_perdoc,2000,11,fp16,1000,residual,residual_norm_nn,1000,0.265,0.826,0.982,0.4899862054612054,3.0,3.378,0.99878565,
e5-small,384,96,288,microkey_perdoc,2000,11,fp16,1000,residual,residual_norm_rank_assignment,1000,0.803,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,microkey_perdoc,2000,11,fp16,1000,full_server,public_prefix_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,microkey_perdoc,2000,11,fp16,1000,full_server,combined_prefix_norm_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,microkey_perdoc,2000,11,int8,1000,residual,cell_label_chance_control,1000,0.0005000000000000002,0.0025,0.005,0.00408918405180514,1000.5,1000.5,0.5,analytic chance level given disclosed cell labels
e5-small,384,96,288,microkey_perdoc,2000,11,int8,1000,residual,residual_norm_nn,1000,0.078,0.33,0.549,0.21723443594907177,9.0,12.82,0.99336975,
e5-small,384,96,288,microkey_perdoc,2000,11,int8,1000,residual,residual_norm_rank_assignment,1000,0.077,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,microkey_perdoc,2000,11,int8,1000,full_server,public_prefix_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,microkey_perdoc,2000,11,int8,1000,full_server,combined_prefix_norm_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,microkey_perdoc,2000,11,noise_0.01,1000,residual,cell_label_chance_control,1000,0.0005000000000000002,0.0025,0.005,0.00408918405180514,1000.5,1000.5,0.5,analytic chance level given disclosed cell labels
e5-small,384,96,288,microkey_perdoc,2000,11,noise_0.01,1000,residual,residual_norm_nn,1000,0.099,0.332,0.566,0.23105816800544351,9.0,11.892,0.99446425,
e5-small,384,96,288,microkey_perdoc,2000,11,noise_0.01,1000,residual,residual_norm_rank_assignment,1000,0.094,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,microkey_perdoc,2000,11,noise_0.01,1000,full_server,public_prefix_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,microkey_perdoc,2000,11,noise_0.01,1000,full_server,combined_prefix_norm_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,10000,11,clean,1000,residual,cell_label_chance_control,1000,0.006426387010301603,0.03213193505150802,0.06426387010301604,0.035860746359992285,81.0,85.751,0.5,analytic chance level given disclosed cell labels
e5-small,384,96,288,cell_C64,10000,11,clean,1000,residual,residual_norm_nn,1000,0.838,1.0,1.0,0.9148333333333334,1.0,1.19,0.99894745,
e5-small,384,96,288,cell_C64,10000,11,clean,1000,residual,residual_norm_rank_assignment,1000,0.994,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,cell_C64,10000,11,clean,1000,full_server,public_prefix_nn,1000,0.999,1.0,1.0,0.9995,1.0,1.001,1.0,
e5-small,384,96,288,cell_C64,10000,11,clean,1000,residual,gram_signature_nn,1000,0.999,1.0,1.0,0.9995,1.0,1.001,1.0,
e5-small,384,96,288,cell_C64,10000,11,clean,1000,residual,nn_graph_signature_nn,1000,0.999,1.0,1.0,0.9995,1.0,1.001,0.9999364,
e5-small,384,96,288,cell_C64,10000,11,clean,1000,residual,combined_invariants_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,10000,11,clean,1000,full_server,combined_prefix_invariants_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,10000,11,clean,1000,residual,raw_cross_key_cosine_control,1000,0.007,0.038,0.073,0.039512659554978756,74.0,83.153,0.51594695,
e5-small,384,96,288,cell_C64,10000,11,clean,1000,residual,known_anchor_ip_0.01,989,0.8119312436804853,0.8240647118301314,0.833164812942366,0.8207868331483014,1.0,13.863498483316482,0.8937964730335,
e5-small,384,96,288,cell_C64,10000,11,clean,1000,residual,known_anchor_ip_0.1,886,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,10000,11,fp16,1000,residual,cell_label_chance_control,1000,0.006426387010301603,0.03213193505150802,0.06426387010301604,0.035860746359992285,81.0,85.751,0.5,analytic chance level given disclosed cell labels
e5-small,384,96,288,cell_C64,10000,11,fp16,1000,residual,residual_norm_nn,1000,0.827,1.0,1.0,0.9073333333333332,1.0,1.213,0.9988562000000001,
e5-small,384,96,288,cell_C64,10000,11,fp16,1000,residual,residual_norm_rank_assignment,1000,0.395,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,cell_C64,10000,11,fp16,1000,full_server,public_prefix_nn,1000,0.999,1.0,1.0,0.9995,1.0,1.001,1.0,
e5-small,384,96,288,cell_C64,10000,11,fp16,1000,residual,gram_signature_nn,1000,0.999,1.0,1.0,0.9995,1.0,1.001,0.9999999999999999,
e5-small,384,96,288,cell_C64,10000,11,fp16,1000,residual,nn_graph_signature_nn,1000,0.999,1.0,1.0,0.9995,1.0,1.001,0.9999026,
e5-small,384,96,288,cell_C64,10000,11,fp16,1000,residual,combined_invariants_nn,1000,0.999,1.0,1.0,0.9995,1.0,1.001,1.0,
e5-small,384,96,288,cell_C64,10000,11,fp16,1000,full_server,combined_prefix_invariants_nn,1000,0.999,1.0,1.0,0.9995,1.0,1.001,1.0,
e5-small,384,96,288,cell_C64,10000,11,fp16,1000,residual,known_anchor_ip_0.01,989,0.8008088978766431,0.8240647118301314,0.833164812942366,0.8152256602463802,1.0,13.874620829120323,0.8581391259363617,
e5-small,384,96,288,cell_C64,10000,11,fp16,1000,residual,known_anchor_ip_0.1,886,0.9988713318284425,1.0,1.0,0.9994356659142212,1.0,1.0011286681715577,1.0,
e5-small,384,96,288,cell_C64,10000,11,int8,1000,residual,cell_label_chance_control,1000,0.006426387010301603,0.03213193505150802,0.06426387010301604,0.035860746359992285,81.0,85.751,0.5,analytic chance level given disclosed cell labels
e5-small,384,96,288,cell_C64,10000,11,int8,1000,residual,residual_norm_nn,1000,0.444,0.943,0.997,0.6498071428571429,2.0,2.248,0.9932881,
e5-small,384,96,288,cell_C64,10000,11,int8,1000,residual,residual_norm_rank_assignment,1000,0.028,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,cell_C64,10000,11,int8,1000,full_server,public_prefix_nn,1000,0.999,1.0,1.0,0.9995,1.0,1.001,1.0,
