suite,encoder,dataset,n_corpus,n_queries,dimension,score_max_abs_error,top10_exact_fraction,top100_exact_fraction,method,ndcg10,recall10,recall100
beir,multilingual-e5-base,arguana,8674,1401,768,3.870434954755808e-07,0.9885795860099929,0.9043540328336902,corrected_half_pca,0.33786065071730587,0.6902212705210564,0.9450392576730906
beir,multilingual-e5-base,arguana,8674,1401,768,3.870434954755808e-07,0.9885795860099929,0.9043540328336902,legacy_hybrid_dpub96_kc100,0.33186608657716016,0.6602426837972877,0.7987152034261242
beir,multilingual-e5-base,arguana,8674,1401,768,3.870434954755808e-07,0.9885795860099929,0.9043540328336902,corrected_shard_centered_router_dpub96_kc100,0.3318130324450019,0.6602426837972877,0.7987152034261242
beir,multilingual-e5-base,arguana,8674,1401,768,3.870434954755808e-07,0.9885795860099929,0.9043540328336902,corrected_shard_uncentered_router_dpub96_kc100,0.34500722513424464,0.6930763740185582,0.9064953604568166
beir,multilingual-e5-base,arguana,8674,1401,768,3.870434954755808e-07,0.9885795860099929,0.9043540328336902,legacy_hybrid_dpub96_kc200,0.34083394315179927,0.6823697359029265,0.8807994289793005
beir,multilingual-e5-base,arguana,8674,1401,768,3.870434954755808e-07,0.9885795860099929,0.9043540328336902,corrected_shard_centered_router_dpub96_kc200,0.34078088901964104,0.6823697359029265,0.8807994289793005
beir,multilingual-e5-base,arguana,8674,1401,768,3.870434954755808e-07,0.9885795860099929,0.9043540328336902,corrected_shard_uncentered_router_dpub96_kc200,0.34586942809957855,0.6952177016416845,0.9443254817987152
beir,multilingual-e5-base,arguana,8674,1401,768,3.870434954755808e-07,0.9885795860099929,0.9043540328336902,legacy_hybrid_dpub192_kc100,0.3422526150844221,0.6866523911491792,0.8593861527480371
beir,multilingual-e5-base,arguana,8674,1401,768,3.870434954755808e-07,0.9885795860099929,0.9043540328336902,corrected_shard_centered_router_dpub192_kc100,0.3422471680933156,0.6866523911491792,0.8593861527480371
beir,multilingual-e5-base,arguana,8674,1401,768,3.870434954755808e-07,0.9885795860099929,0.9043540328336902,corrected_shard_uncentered_router_dpub192_kc100,0.34611860676921563,0.69593147751606,0.9400428265524625
beir,multilingual-e5-base,arguana,8674,1401,768,3.870434954755808e-07,0.9885795860099929,0.9043540328336902,legacy_hybrid_dpub192_kc200,0.34497648822114874,0.6930763740185582,0.9243397573162027
beir,multilingual-e5-base,arguana,8674,1401,768,3.870434954755808e-07,0.9885795860099929,0.9043540328336902,corrected_shard_centered_router_dpub192_kc200,0.3449710412300423,0.6930763740185582,0.9243397573162027
beir,multilingual-e5-base,arguana,8674,1401,768,3.870434954755808e-07,0.9885795860099929,0.9043540328336902,corrected_shard_uncentered_router_dpub192_kc200,0.34612891003910984,0.69593147751606,0.9543183440399714
miracl,multilingual-e5-small,sw,131924,482,384,5.44840807914504e-07,1.0,0.9771784232365145,raw,0.6795075081358255,0.7904218533886584,0.9460531515510768
miracl,multilingual-e5-small,sw,131924,482,384,5.44840807914504e-07,1.0,0.9771784232365145,old_centered_full,0.6435611347740023,0.7616133175261806,0.9441019561351512
miracl,multilingual-e5-small,sw,131924,482,384,5.44840807914504e-07,1.0,0.9771784232365145,corrected_full,0.6795075081358255,0.7904218533886584,0.9460531515510768
miracl,multilingual-e5-small,sw,131924,482,384,5.44840807914504e-07,1.0,0.9771784232365145,old_centered_half_pca,0.6147283617848245,0.7314611736810906,0.9297273266152933
miracl,multilingual-e5-small,sw,131924,482,384,5.44840807914504e-07,1.0,0.9771784232365145,corrected_half_pca,0.6268694041433895,0.7435462359217546,0.9263312586445367
miracl,multilingual-e5-small,sw,131924,482,384,5.44840807914504e-07,1.0,0.9771784232365145,legacy_hybrid_dpub48_kc100,0.5322463235182492,0.5936030428769018,0.6530873345188698
miracl,multilingual-e5-small,sw,131924,482,384,5.44840807914504e-07,1.0,0.9771784232365145,corrected_shard_centered_router_dpub48_kc100,0.5322463235182492,0.5936030428769018,0.6530873345188698
miracl,multilingual-e5-small,sw,131924,482,384,5.44840807914504e-07,1.0,0.9771784232365145,corrected_shard_uncentered_router_dpub48_kc100,0.5038502074225601,0.5517585457419482,0.618400513732464
miracl,multilingual-e5-small,sw,131924,482,384,5.44840807914504e-07,1.0,0.9771784232365145,legacy_hybrid_dpub48_kc200,0.5712125419650277,0.6388658367911478,0.7275242047026279
miracl,multilingual-e5-small,sw,131924,482,384,5.44840807914504e-07,1.0,0.9771784232365145,corrected_shard_centered_router_dpub48_kc200,0.5712125419650277,0.6388658367911478,0.7275242047026279
miracl,multilingual-e5-small,sw,131924,482,384,5.44840807914504e-07,1.0,0.9771784232365145,corrected_shard_uncentered_router_dpub48_kc200,0.5342744376746826,0.5985971151946256,0.6853141671606402
miracl,multilingual-e5-small,sw,131924,482,384,5.44840807914504e-07,1.0,0.9771784232365145,legacy_hybrid_dpub96_kc100,0.6609573321291037,0.7581876111440427,0.8629593953764078
miracl,multilingual-e5-small,sw,131924,482,384,5.44840807914504e-07,1.0,0.9771784232365145,corrected_shard_centered_router_dpub96_kc100,0.6609573321291037,0.7581876111440427,0.8629593953764078
miracl,multilingual-e5-small,sw,131924,482,384,5.44840807914504e-07,1.0,0.9771784232365145,corrected_shard_uncentered_router_dpub96_kc100,0.6524342211495856,0.7496221102548903,0.8538851017585457
miracl,multilingual-e5-small,sw,131924,482,384,5.44840807914504e-07,1.0,0.9771784232365145,legacy_hybrid_dpub96_kc200,0.6731184950643535,0.7790407034182969,0.9051817822564711
miracl,multilingual-e5-small,sw,131924,482,384,5.44840807914504e-07,1.0,0.9771784232365145,corrected_shard_centered_router_dpub96_kc200,0.6731184950643535,0.7790407034182969,0.9051817822564711
miracl,multilingual-e5-small,sw,131924,482,384,5.44840807914504e-07,1.0,0.9771784232365145,corrected_shard_uncentered_router_dpub96_kc200,0.6635405772358643,0.7680917802805769,0.8918272080616478
miracl,multilingual-e5-small,bn,297265,411,384,5.689979309941862e-07,1.0,0.975669099756691,raw,0.6882742370034259,0.8082551268682656,0.9634621326227166
miracl,multilingual-e5-small,bn,297265,411,384,5.689979309941862e-07,1.0,0.975669099756691,old_centered_full,0.6556236245994213,0.7831875410342564,0.9634476499440003
miracl,multilingual-e5-small,bn,297265,411,384,5.689979309941862e-07,1.0,0.975669099756691,corrected_full,0.6882742370034259,0.8082551268682656,0.9634621326227166
miracl,multilingual-e5-small,bn,297265,411,384,5.689979309941862e-07,1.0,0.975669099756691,old_centered_half_pca,0.6396938503218068,0.7668452863708337,0.945871471053953
miracl,multilingual-e5-small,bn,297265,411,384,5.689979309941862e-07,1.0,0.975669099756691,corrected_half_pca,0.6491104008327961,0.7690707913335649,0.9493231761479937
miracl,multilingual-e5-small,bn,297265,411,384,5.689979309941862e-07,1.0,0.975669099756691,legacy_hybrid_dpub48_kc100,0.5501844596890277,0.5915073572007878,0.6301152821225814
miracl,multilingual-e5-small,bn,297265,411,384,5.689979309941862e-07,1.0,0.975669099756691,corrected_shard_centered_router_dpub48_kc100,0.5501844596890277,0.5915073572007878,0.6301152821225814
miracl,multilingual-e5-small,bn,297265,411,384,5.689979309941862e-07,1.0,0.975669099756691,corrected_shard_uncentered_router_dpub48_kc100,0.5437256092624431,0.5869723477387712,0.6277961225041516
miracl,multilingual-e5-small,bn,297265,411,384,5.689979309941862e-07,1.0,0.975669099756691,legacy_hybrid_dpub48_kc200,0.5839837847496201,0.6462789170818367,0.7041372185532769
miracl,multilingual-e5-small,bn,297265,411,384,5.689979309941862e-07,1.0,0.975669099756691,corrected_shard_centered_router_dpub48_kc200,0.5839837847496201,0.6462789170818367,0.7041372185532769
miracl,multilingual-e5-small,bn,297265,411,384,5.689979309941862e-07,1.0,0.975669099756691,corrected_shard_uncentered_router_dpub48_kc200,0.5835583840875359,0.6366315220329819,0.7005406866720735
