suite,encoder,dataset,epsilon,sigma,gallery_size,chance_r1,chance_r10,linkage_r1,linkage_r1_ci95_low,linkage_r1_ci95_high,linkage_r10,linkage_r10_ci95_low,linkage_r10_ci95_high,pairwise_auc_contribution,pairwise_auc_contribution_ci95_low,pairwise_auc_contribution_ci95_high
beir,multilingual-e5-small,arguana,16384.0,0.011342138868479306,5000,0.0002,0.002,0.99609375,0.98828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-small,arguana,32768.0,0.007958795070825649,5000,0.0002,0.002,0.99609375,0.98828125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-small,nfcorpus,0.5,16.1152530766871,3633,0.0002752546105147261,0.0027525461051472614,0.0,0.0,0.0,0.0026041666666666665,0.0,0.009114583333333332,0.5210774739583334,0.491448974609375,0.549481201171875
beir,multilingual-e5-small,nfcorpus,1.0,8.449366228011328,3633,0.0002752546105147261,0.0027525461051472614,0.0,0.0,0.0,0.00390625,0.0,0.01171875,0.5216471354166666,0.49267578125,0.551434326171875
beir,multilingual-e5-small,nfcorpus,2.0,4.460957003325374,3633,0.0002752546105147261,0.0027525461051472614,0.0,0.0,0.0,0.00390625,0.0,0.013020833333333332,0.5327962239583334,0.5019510904947917,0.5613627115885416
beir,multilingual-e5-small,nfcorpus,4.0,2.3870395613531454,3633,0.0002752546105147261,0.0027525461051472614,0.0,0.0,0.0,0.005208333333333333,0.0,0.015625,0.5603841145833334,0.530029296875,0.589520263671875
beir,multilingual-e5-small,nfcorpus,8.0,1.3058720745872001,3633,0.0002752546105147261,0.0027525461051472614,0.0013020833333333333,0.0,0.0078125,0.0078125,0.0,0.01953125,0.6050618489583334,0.5766581217447917,0.6363972981770833
beir,multilingual-e5-small,nfcorpus,16.0,0.73722405290227,3633,0.0002752546105147261,0.0027525461051472614,0.0013020833333333333,0.0,0.0078125,0.013020833333333334,0.0,0.029947916666666664,0.675537109375,0.64990234375,0.70166015625
beir,multilingual-e5-small,nfcorpus,32.0,0.43237492535347166,3633,0.0002752546105147261,0.0027525461051472614,0.006510416666666667,0.0,0.018229166666666664,0.044270833333333336,0.022135416666666664,0.0703125,0.7715657552083334,0.7474751790364583,0.795166015625
beir,multilingual-e5-small,nfcorpus,64.0,0.26380843334171206,3633,0.0002752546105147261,0.0027525461051472614,0.037760416666666664,0.020833333333333332,0.05598958333333333,0.15494791666666666,0.12109375,0.18880208333333331,0.8871256510416666,0.8680826822916667,0.9040547688802083
beir,multilingual-e5-small,nfcorpus,128.0,0.16683264581484528,3633,0.0002752546105147261,0.0027525461051472614,0.19661458333333334,0.15494791666666669,0.23828124999999997,0.4661458333333333,0.4140625,0.5221354166666666,0.96728515625,0.957275390625,0.97607421875
beir,multilingual-e5-small,nfcorpus,256.0,0.10865852949393662,3633,0.0002752546105147261,0.0027525461051472614,0.6458333333333334,0.5872395833333333,0.6979492187499999,0.8958333333333334,0.859375,0.9284179687499999,0.9984537760416666,0.996826171875,0.9995930989583334
beir,multilingual-e5-small,nfcorpus,512.0,0.0723951243591535,3633,0.0002752546105147261,0.0027525461051472614,0.9622395833333334,0.9375,0.9817708333333333,0.9986979166666666,0.9921875,1.0,1.0,1.0,1.0
beir,multilingual-e5-small,nfcorpus,1024.0,0.049054348512207455,3633,0.0002752546105147261,0.0027525461051472614,0.9895833333333334,0.9765625,0.9986979166666666,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-small,nfcorpus,2048.0,0.03364862959799442,3633,0.0002752546105147261,0.0027525461051472614,0.9908854166666666,0.9791666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-small,nfcorpus,4096.0,0.023285155746839942,3633,0.0002752546105147261,0.0027525461051472614,0.9921875,0.98046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-small,nfcorpus,8192.0,0.01621503157066274,3633,0.0002752546105147261,0.0027525461051472614,0.9921875,0.98046875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-small,nfcorpus,16384.0,0.011342138868479306,3633,0.0002752546105147261,0.0027525461051472614,0.9934895833333334,0.9817708333333334,1.0,1.0,1.0,1.0,0.9999593098958334,0.999835205078125,1.0
beir,multilingual-e5-small,nfcorpus,32768.0,0.007958795070825649,3633,0.0002752546105147261,0.0027525461051472614,0.9947916666666666,0.984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-small,scifact,0.5,16.1152530766871,5000,0.0002,0.002,0.0,0.0,0.0,0.0026041666666666665,0.0,0.010416666666666666,0.5050455729166666,0.47509765625,0.5356547037760416
beir,multilingual-e5-small,scifact,1.0,8.449366228011328,5000,0.0002,0.002,0.0,0.0,0.0,0.0026041666666666665,0.0,0.010416666666666666,0.5020345052083334,0.473388671875,0.5321451822916666
beir,multilingual-e5-small,scifact,2.0,4.460957003325374,5000,0.0002,0.002,0.0,0.0,0.0,0.0026041666666666665,0.0,0.01171875,0.525390625,0.49381103515624997,0.556317138671875
beir,multilingual-e5-small,scifact,4.0,2.3870395613531454,5000,0.0002,0.002,0.0,0.0,0.0,0.0026041666666666665,0.0,0.010416666666666666,0.5459798177083334,0.5145650227864583,0.5781311035156249
beir,multilingual-e5-small,scifact,8.0,1.3058720745872001,5000,0.0002,0.002,0.0,0.0,0.0,0.00390625,0.0,0.013020833333333332,0.59033203125,0.558099365234375,0.6225646972656249
beir,multilingual-e5-small,scifact,16.0,0.73722405290227,5000,0.0002,0.002,0.0013020833333333333,0.0,0.0078125,0.009114583333333334,0.0013020833333333333,0.01953125,0.6625162760416666,0.6298787434895833,0.69091796875
beir,multilingual-e5-small,scifact,32.0,0.43237492535347166,5000,0.0002,0.002,0.00390625,0.0,0.013020833333333332,0.01953125,0.0078125,0.033854166666666664,0.76025390625,0.736322021484375,0.7839375813802083
beir,multilingual-e5-small,scifact,64.0,0.26380843334171206,5000,0.0002,0.002,0.01171875,0.0026041666666666665,0.0234375,0.11067708333333333,0.08333333333333331,0.13935546874999982,0.879638671875,0.8610005696614583,0.8982014973958333
beir,multilingual-e5-small,scifact,128.0,0.16683264581484528,5000,0.0002,0.002,0.15104166666666666,0.11848958333333333,0.18359375,0.4296875,0.375,0.48828125,0.9673665364583334,0.95751953125,0.975341796875
beir,multilingual-e5-small,scifact,256.0,0.10865852949393662,5000,0.0002,0.002,0.6575520833333334,0.609375,0.7057291666666665,0.88671875,0.8580403645833333,0.9140625,0.9966634114583334,0.993896484375,0.998779296875
beir,multilingual-e5-small,scifact,512.0,0.0723951243591535,5000,0.0002,0.002,0.96875,0.9505208333333333,0.984375,0.9973958333333334,0.9921549479166667,1.0,0.9999186197916666,0.99951171875,1.0
beir,multilingual-e5-small,scifact,1024.0,0.049054348512207455,5000,0.0002,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-small,scifact,2048.0,0.03364862959799442,5000,0.0002,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-small,scifact,4096.0,0.023285155746839942,5000,0.0002,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-small,scifact,8192.0,0.01621503157066274,5000,0.0002,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-small,scifact,16384.0,0.011342138868479306,5000,0.0002,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-small,scifact,32768.0,0.007958795070825649,5000,0.0002,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
miracl,multilingual-e5-small,bn,0.5,16.1152530766871,5000,0.0002,0.002,0.0,0.0,0.0,0.0026041666666666665,0.0,0.010416666666666666,0.5216471354166666,0.48795572916666663,0.55322265625
miracl,multilingual-e5-small,bn,1.0,8.449366228011328,5000,0.0002,0.002,0.0,0.0,0.0,0.0026041666666666665,0.0,0.010449218749999822,0.535400390625,0.49552001953124997,0.5743855794270831
miracl,multilingual-e5-small,bn,2.0,4.460957003325374,5000,0.0002,0.002,0.0013020833333333333,0.0,0.0078125,0.0026041666666666665,0.0,0.010416666666666666,0.5465494791666666,0.5126118977864583,0.5800801595052083
miracl,multilingual-e5-small,bn,4.0,2.3870395613531454,5000,0.0002,0.002,0.0013020833333333333,0.0,0.0065429687499998215,0.00390625,0.0,0.013020833333333332,0.5751139322916666,0.5366190592447917,0.61409912109375
miracl,multilingual-e5-small,bn,8.0,1.3058720745872001,5000,0.0002,0.002,0.0026041666666666665,0.0,0.010416666666666666,0.0078125,0.0,0.0234375,0.6241048177083334,0.5844624837239584,0.6622802734375
miracl,multilingual-e5-small,bn,16.0,0.73722405290227,5000,0.0002,0.002,0.00390625,0.0,0.015625,0.01953125,0.006510416666666666,0.03645833333333333,0.6925455729166666,0.655267333984375,0.7290954589843749
miracl,multilingual-e5-small,bn,32.0,0.43237492535347166,5000,0.0002,0.002,0.009114583333333334,0.0,0.028645833333333332,0.05859375,0.03515625,0.08466796874999981,0.8019205729166666,0.7725341796874999,0.8314615885416666
